VALID,TURB,LAT,LON,color
202409011503,NEG,33.67,-86.2992,b
202409011503,LT 140,30.1756,-95.676,k
202409011503,NEG,40.3198,-106.2272,b
202409011503,NEG,40.3198,-106.2272,b
202409011503,CONS LGT CHOP BLO 310,40.5952,-105.9749,g
202409011503,CONS LGT CHOP BLO 310,40.5952,-105.9749,g
202409011504,NEG,22.6638,-71.4524,b
202409011505,NEG,34.4666,-86.63,b
202409011508,NEG,31.4467,-87.8641,b
202409011509,MOD,41.41,-74.59,y
202409011509,MOD TURB DURC FL140-FL210,29.9521,-94.3147,y
202409011510,LGT-MOD,25.3476,-81.1987,g
202409011510,LGT,37.2296,-84.703,g
202409011510,LGT RIME,25.8333,-78.78,g
202409011511,LGT,26.2,-80.2443,g
202409011511,NEG,25.6842,-79.6207,b
202409011514,NEG,25.9302,-81.1704,b
202409011514,NEG,32.0162,-84.1294,b
202409011516,NEG,27.9679,-82.3159,b
202409011516,NEG,29.1287,-82.5403,b
202409011517,NEG,27.4014,-83.4598,b
202409011517,NEG,32.8986,-80.0405,b
202409011520,NEG,33.2084,-85.7263,b
202409011521,+15KTS ON FINAL,42.877,-78.6626,k
202409011525,NEG,21.5675,-71.3156,b
202409011526,CONS LGT CHOP,26.4593,-78.1297,g
202409011527,NEG,28.5544,-81.0628,b
202409011529,NEG,25.039,-77.4662,b
202409011529,NEG,33.3119,-98.4928,b
202409011530,SEV,27.3802,-80.2438,r
202409011531,NEG,35.5296,-85.9596,b
202409011533,NEG,36.9439,-85.6678,b
202409011534,NEG,47.5928,-95.7735,b
202409011535,LGT CHOP,36.3112,-89.2657,g
202409011535,NEG,34.5978,-85.1611,b
202409011535,MOD,27.1771,-80.1966,y
202409011536,MOD-SEVERE,27.013,-80.0346,y
202409011537,NEG,37.3157,-82.8351,b
202409011538,MOD 080-140,45.3225,-75.1951,y
202409011538,SMOOTH RIDE BETWEEN BUILDUPS,25.9694,-80.5472,k
202409011541,OCNL LT CHOP,26.234,-80.6563,k
202409011541,SMTH,32.9885,-97.2271,k
202409011542,LGT-MOD,37.5398,-85.2494,g
202409011542,NEG,36.1189,-86.0702,b
202409011542,NEG,27.3387,-80.7599,b
202409011544,NEG,30.1772,-82.0726,b
202409011544,OCNL LT CHOP,25.83,-80.538,k
202409011545,NEG,31.03,-86.52,b
202409011546,OCNL LT CHOP,26.4746,-79.6091,k
202409011547,NEG,32.1314,-81.2023,b
202409011548,MOD,51.4427,165.0493,y
202409011549,NEG,25.2525,-80.8471,b
202409011552,LGT CHOP,43.1451,-75.3839,g
202409011552,LGT-MOD CHOP,37.1789,-98.2759,g
202409011553,OCNL LGT CHOP,33.9417,-77.97,g
202409011553,INTMT LGT CHOP,40.56,-87.07,g
202409011554,MOD,55.1323,-133.1033,y
202409011555,NEG,38.5022,-80.2657,b
202409011556,NEG,36.5903,-86.1056,b
202409011556,NEG,26.4104,-81.8765,b
202409011556,MOD,29.6375,-94.8989,y
202409011559,NEG,30.9474,-81.2233,b
202409011559,MOD TURB FL110-210,29.69,-94.5197,y
202409011601,NEG,37.0536,-84.6156,b
202409011602,NEG,26.2,-80.2443,b
202409011602,MOD 130-150,45.1859,-122.9388,y
202409011602,CONS LGT CHOP,35.6032,-84.7621,g
202409011603,NEG,33.0955,-86.7783,b
202409011603,NEG,26.4424,-79.6973,b
202409011604,NEG,27.3738,-80.8877,b
202409011608,NEG,25.5357,-78.1544,b
202409011608,NEG,24.8126,-80.9846,b
202409011608,NEG,24.9039,-78.5868,b
202409011608,CONS LGT,27.5001,-78.78,g
202409011609,LIGHT CHOP  +,43.1167,-77.6767,k
202409011609,NEG,34.96,-85.5568,b
202409011609,NEG,26.1061,-80.8711,b
202409011611,LGT CHOP,25.4135,-80.082,g
202409011611,NEG,21.51,-69.0595,b
202409011612,OCNL LGT CHOP,31.529,-79.1072,g
202409011613,NEG,26.66,-76.3925,b
202409011613,LGT CHOP,23.7925,-77.807,g
202409011614,NEG,26.0198,-80.9571,b
202409011615,OCNL LGT CHOP,33.9727,-85.6871,g
202409011616,CONS LGT OCNL MOD CHOP,36.2737,-106.2318,g
202409011616,NEG,34.96,-85.9635,b
202409011616,NEG,26.38,-79.5518,b
202409011616,CONS LGT,27.5001,-78.78,g
202409011618,MOD CHOP,36.9645,-87.2541,y
202409011622,NEG,26.5381,-81.7567,b
202409011623,LGT CHOP,29.1264,-79.2975,g
202409011624,NEG,27.9224,-85.8867,b
202409011625,NEG,25.0341,-81.009,b
202409011626,NEG,51.87,-176.64,b
202409011627,CONS LGT OCNL MOD CHOP BLO 080,41.357,-88.4314,g
202409011630,OCNL LGT CHOP 320,33.4587,-86.3555,g
202409011631,LGT CHOP,41.0193,-89.3864,g
202409011632,INTMT LGT CHOP,34.1244,-93.5251,g
202409011632,CONS LGT CAT,38.2624,-108.4805,g
202409011632,NEG,26.6605,-80.0505,b
202409011632,MOD CHOP,41.3724,-88.4115,y
202409011634,LIGHT CHOP,20.64,-156.43,k
202409011635,NEG,35.2225,-80.9543,b
202409011635,MOD,37.67,-122.429,y
202409011636,OCNL LGT CHOP,36.0975,-79.9436,g
202409011636,INTMT LGT CHOP,26.2057,-80.0083,g
202409011637,CONS LGT CHOP,34.25,-82.16,g
202409011638,CONS LGT CHOP,34.0383,-82.0904,g
202409011638,LGT CHOP,34.3666,-83.3,g
202409011638,NEG,58.35,-134.57,b
202409011638,NEG,58.35,-134.57,b
202409011638,OCNL LGT CHOP,27.7028,-80.5141,g
202409011639,NEG,34.9157,-81.9565,b
202409011641,NEG,29.4672,-81.1136,b
202409011641,NEG,27.381,-81.1177,b
202409011643,INTMT LGT CHOP,33.21,-82.16,g
202409011644,MOD,33.2176,-83.9464,y
202409011644,LGT CHOP,36.7808,-80.69,g
202409011645,LIGHT CHOP,27.5077,-80.5608,k
202409011649,LGT,27.5096,-80.4507,g
202409011650,NEG,38.73,-112.1,b
202409011652,NEG,35.41,-82.27,b
202409011653,LGT CHOP,41.9381,-72.3464,g
202409011655,SMOOTH,29.9502,-95.6924,k
202409011656,NEG,34.4419,-81.1181,b
202409011657,OCNL LGT CHOP,39.1934,-108.5701,g
202409011659,BASE020,31.1522,-81.3908,k
202409011701,INTMT MOD 320-290,36.3604,-90.6333,y
202409011701,NEG,35.5594,-86.1352,b
202409011702,OCNL LGT CHOP,33.67,-86.9,g
202409011703,NEG,33.9727,-86.0891,b
202409011705,NEG,27.6643,-80.8283,b
202409011706,NEG,28.3022,-82.1477,b
202409011707,LGT,28.0835,-78.78,g
202409011710,SEV CAT,27.9619,-82.729,r
202409011710,NEG,36.3532,-81.5179,b
202409011710,SEV CAT,27.9476,-82.9289,r
202409011710,SMOOTH,29.9844,-95.7456,k
202409011711,LGT CHOP,41.5689,-87.9967,g
202409011713,MOD,33.6301,-84.4418,y
202409011715,NEG,36.2316,-82.5786,b
202409011716,SMOOTH,29.1636,-82.221,k
202409011717,NEG,25.7072,-78.2303,b
202409011718,NEG,40.9675,-98.6408,b
202409011720,+20,43.6424,-70.3044,k
202409011720,SEV CHOP,26.2,-80.17,r
202409011723,NEG,55.2692,-131.8607,b
202409011723,SMOOTH,28.4294,-81.4796,k
202409011724,CONS LGT CHOP,29.1799,-81.2299,g
202409011724,MOD-SEV 100-130,45.8016,-73.7414,y
202409011726,NEG,37.6211,-86.5646,b
202409011726,NEG,33.757,-86.552,b
202409011729,NEG,27.6511,-80.6754,b
202409011729,LGT CHOP,35.41,-82.27,g
202409011730,OCNL LGT CHOP,33.9486,-83.3264,g
202409011730,MOD,33.7735,-84.6878,y
202409011731,NEG,35.2225,-80.9543,b
202409011731,NEG,36.0975,-80.253,b
202409011731,NEG,34.9157,-81.9565,b
202409011731,NEG,36.009,-86.5201,b
202409011732,LGT CHOP,25.0,-77.45,g
202409011732,MOD,40.9,-80.55,y
202409011734,NEG,39.1193,-106.6698,b
